;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Tomato sauce for spaghetti, canned;125mL;132;143;600;2;21;N/A;1,09;6;37;0,09;652;505;32;47;82;967;N/A;28;15;0;;;;
Tomato sauce, canned;125mL;129;41;173;2;10;6;1,09;tr;17;1,03;678;428;21;34;22;271;19612;12;8;0;;;;
Vegetable juice cocktail;125mL;128;24;101;1;6;4;0,07;tr;14;0,05;345;247;14;22;100;1061;12351;27;35;0;;;;
Vegetable juice cocktail, low sodium;125mL;128;28;118;1;6;5;1,00;tr;14;0,05;89;247;14;22;66;1061;12350;27;35;0;;;;
Fruit and Fruit Juices;;;;;;;;;;;;;;;;;;;;;;;;;
Fruit;;;;;;;;;;;;;;;;;;;;;;;;;
Apple with skin (7cm.diam);1;138;72;300;tr;19;14;2,06;tr;8;0,02;1;148;7;15;4;37;0;4;6;0;;;;
Applesauce, unsweetened;125mL;129;55;232;tr;15;13;1,05;tr;4;0,02;3;97;4;9;1;17;0;1;13;0;;;;
Apricots, dried;3;21;67;281;1;17;N/A;1,02;tr;13;1,03;3;389;13;33;133;0;0;1;2;0;;;;
Apricots, raw;3;105;50;211;1;12;10;2,01;tr;14;0,04;1;272;11;24;101;1149;0;9;11;0;;;;
Avocado;01-Feb;101;161;672;2;9;1;6,07;15;12;0,06;7;487;29;52;7;62;0;81;10;0;;;;
Banana;1;118;105;439;1;27;14;2,01;tr;6;0,03;1;422;32;26;4;31;0;24;10;0;;;;
Blackberries;125mL;76;33;137;1;7;4;4,00;tr;22;0,05;1;123;15;17;8;97;0;19;16;0;;;;
Blueberries, frozen, unsweetened;125mL;82;42;174;tr;10;7;2,06;1;7;0,01;1;44;4;9;2;23;0;6;2;0;;;;
Blueberries, raw;125mL;77;44;182;1;11;8;2,00;tr;5;0,02;1;59;5;9;2;25;0;5;7;0;;;;
Cherries, sweet;10;68;43;179;1;11;9;1,04;tr;9;0,02;0;151;7;14;2;26;0;3;5;0;;;;
Clementine;1;74;35;146;1;9;7;1,03;tr;22;0,01;1;131;7;16;N/A;N/A;N/A;18;36;0;;;;
Cranberries, dried, sweetened;60mL;31;95;396;tr;25;20;1,08;tr;3;0,02;1;12;2;2;0;0;0;0;tr;0;;;;
Dates, dried;3;25;70;294;1;19;16;2,00;tr;10;0,03;tr;163;11;15;0;1;0;5;tr;0;;;;
Figs, dried;2;17;42;175;1;11;8;1,06;tr;27;0,03;2;114;11;11;tr;1;0;2;tr;0;;;;
Figs, raw;1;50;37;155;tr;10;8;15;tr;18;0,02;1;116;9;7;4;43;0;3;1;0;;;;
Fruit cocktail, canned, juice pack;125mL;125;58;240;1;15;14;1,03;tr;10;0,03;5;119;9;18;19;193;0;4;3;0;;;;
Fruit cocktail, canned, light syrup pack;125mL;128;73;304;1;19;18;13;tr;8;0,04;8;114;6;14;13;133;0;4;2;0;;;;
Fruit salad, tropical, canned, heavy syrup pack;125mL;136;117;489;1;30;N/A;1,08;tr;18;0,07;3;178;18;10;8;102;N/A;12;24;0;;;;
Fruit salad, tropical, canned, juice pack;125mL;131;70;272;1;18;16;11;tr;17;0,03;4;160;14;10;8;96;0;4;16;0;;;;
Grapefruit, pink or red;01-Feb;123;52;216;1;13;8;2,00;tr;27;0,01;0;166;11;22;71;844;1745;16;38;0;;;;
Grapefruit, white;01-Feb;118;39;163;1;10;9;2,01;tr;14;0,01;0;175;11;9;2;17;0;12;39;0;;;;
Grapes;20;100;69;289;1;18;15;1,02;tr;10;0,04;2;191;7;20;3;39;0;2;11;0;;;;
Groundcherries;10;49;26;108;1;5;N/A;N/A;tr;4;0,05;tr;75;N/A;19;17;210;N/A;3;5;0;;;;
Kiwifruit;1;76;46;194;1;11;7;2,03;tr;26;0,02;2;237;13;26;3;40;0;19;70;0;;;;
Lychees (litchis);10;96;63;265;1;16;15;1,02;tr;5;0,03;1;164;10;30;0;0;0;13;69;0;;;;
Mango;01-Feb;104;67;282;1;18;15;1,09;tr;10;0,01;2;161;9;11;39;461;0;14;29;0;;;;
Melon, cantaloupe, cubes;125mL;85;29;120;1;7;7;0,06;tr;8;0,02;14;226;10;13;143;1708;0;18;31;0;;;;
Melon, honeydew, cubes;125mL;90;32;136;tr;8;7;0,07;tr;5;0,02;16;205;9;10;3;27;0;17;16;0;;;;
Melon, watermelon, cubes;125mL;80;24;100;tr;6;5;0,03;tr;6;0,02;1;90;8;9;22;243;3639;2;7;0;;;;
Nectarine;1;136;60;250;1;14;11;2,03;tr;8;0,04;0;273;12;35;18;204;0;7;7;0;;;;
Orange;1;131;62;258;1;15;12;2,03;tr;52;0,01;0;237;13;18;8;93;0;39;70;0;;;;
Papaya, cubes;125mL;74;29;121;tr;7;4;1,03;tr;18;0,01;2;190;7;4;17;204;0;28;46;0;;;;
Peach;1;98;38;160;1;9;8;19;tr;6;0,02;0;186;9;20;16;159;0;3;6;0;;;;
Peach, canned halves or slices, juice pack;125mL;132;58;243;1;15;14;1,07;tr;8;0,04;5;169;9;22;25;250;0;4;5;0;;;;
Peach, canned halves or slices, light syrup pack;125mL;133;72;300;1;19;18;1,07;tr;4;0,05;7;129;7;15;24;233;0;4;9;0;;;;
Peach, canned halves or slices, water pack;125mL;129;31;129;1;8;6;1,07;tr;3;0,04;4;128;6;13;35;340;0;4;4;0;;;;
Pear with skin;1;166;96;403;1;26;16;5,00;tr;15;0,03;2;198;12;18;2;22;0;12;7;0;;;;
Pear, canned halves, juice pack;125mL;131;66;274;tr;17;13;2,01;tr;12;0,04;5;126;9;16;0;4;0;1;2;0;;;;
Pear, canned halves, light syrup pack;125mL;133;76;316;tr;20;16;2,01;tr;7;0,04;7;88;5;9;0;0;0;1;2;0;;;;
Pear, canned halves, water pack;125mL;128;37;155;tr;10;8;2,00;tr;5;0,03;3;68;5;9;0;0;0;1;1;0;;;;
Pineapple, canned, juice pack;125mL;132;79;330;1;21;19;1,02;tr;18;0,04;1;160;18;8;3;30;0;7;12;0;;;;
Pineapple, cubes;125mL;82;42;174;tr;11;8;1,01;tr;11;0,02;1;88;10;7;2;28;0;16;46;0;;;;
Plantain, baked or boiled, sliced;125mL;81;94;395;1;25;11;1,09;tr;2;0,05;4;378;26;23;37;300;0;21;9;0;;;;
Plum;1;66;30;127;tr;8;7;1,01;tr;4;0,01;0;104;5;11;11;125;0;3;6;0;;;;
Pomegranate (9.5cm diam);01-Feb;77;53;220;1;13;13;0,05;tr;2;0,02;2;200;2;6;2;31;0;5;5;0;;;;
Prunes, dried;3;25;60;253;1;16;10;1,08;tr;11;0,02;1;184;10;17;10;99;0;1;tr;0;;;;
Prunes, dried, cooked, without added sugar;60mL;63;67;281;1;18;16;3,06;tr;12;0,03;1;202;11;19;11;109;0;0;2;0;;;;
Raisins;60mL;37;110;460;1;29;22;1,03;tr;18;0,07;4;275;12;37;0;0;0;2;1;0;;;;
Raspberries;125mL;65;34;141;1;8;3;4,02;tr;16;0,04;1;98;14;19;1;8;0;14;17;0;;;;
Rhubarb, frozen, cooked, with added sugar;125mL;127;147;615;tr;40;36;2,05;tr;184;0,03;1;122;15;10;5;56;0;6;4;0;;;;
Strawberries;7;84;27;113;1;6;4;19;tr;13;0,04;1;129;11;20;3;6;0;20;49;0;;;;
Strawberries, frozen, unsweetened;125mL;117;41;170;1;11;5;18;tr;19;0,09;2;173;13;15;2;32;0;20;48;0;;;;
Tangerine (mandarin);1;84;45;186;1;11;9;15;tr;31;0,01;2;139;10;17;11;130;0;13;22;0;;;;
Tangerine (mandarin), canned, juice pack, drained;125mL;100;38;159;1;9;8;12;tr;12;0,03;5;136;11;11;25;298;0;5;34;0;;;;
Fruit Juices;;;;;;;;;;;;;;;;;;;;;;;;;
Apple juice, ready-to-drink, vitamin C added;125mL;126;59;249;tr;15;14;0,01;tr;9;0,05;4;150;4;9;0;0;0;tr;52;0;;;;
Cranberry juice cocktail, ready-to-drink, vitamin C added;125mL;134;76;318;0;19;16;0,01;tr;4;0,02;3;24;3;3;0;0;0;0;48;0;;;;
Cranberry juice, unsweetened, ready-to-drink;125mL;134;61;257;1;16;16;0,01;tr;11;0,03;3;103;8;17;3;36;0;1;12;0;;;;
Cranberry-apple juice-drink, ready-to-drink, low Calorie, vitamin C added;125mL;127;24;100;tr;6;6;0,01;0;13;0,01;6;57;4;1;1;8;0;0;41;0;;;;
Grape juice, frozen, sweetened, diluted, vitamin C added;125mL;132;67;281;tr;17;17;0,01;tr;5;0,01;3;28;5;5;0;7;0;1;20;0;;;;
Grape juice, ready-to-drink, vitamin C added;125mL;132;81;337;1;20;20;0,01;tr;12;0,03;4;174;13;15;0;7;0;4;32;0;;;;
Grapefruit juice, ready-to-drink unsweetened or freshly squeezed;125mL;130;50;210;1;12;12;0,04;tr;10;0,03;1;206;14;17;1;11;0;13;44;0;;;;
Grapefruit juice, ready-to-drink, sweetened;125mL;132;61;254;1;15;15;0,01;tr;11;0,05;3;214;13;15;0;4;0;13;36;0;;;;
Lemon juice, canned or bottled;15mL;15;3;14;tr;1;tr;0,01;tr;2;tr;3;16;1;1;tr;tr;0;2;4;0;;;;
Lime juice, canned or bottled;15mL;16;3;14;tr;1;tr;0,01;tr;2;tr;2;12;1;2;tr;2;0;1;1;0;;;;
Nectar, apricot;125mL;133;74;310;tr;19;18;0,08;tr;9;0,05;4;151;7;12;88;1042;0;1;44;0;;;;
Nectar, mango;125mL;133;68;281;tr;17;17;0,04;tr;23;0,05;7;32;4;3;46;533;0;9;20;0;;;;
Orange and grapefruit juice, ready-to-drink;125mL;130;56;235;1;13;13;0,01;tr;0,00;0,06;4;206;13;18;8;26;0;18;38;0;;;;
Orange juice, frozen, diluted;125mL;132;59;247;1;14;11;0,03;tr;12;0,01;1;250;13;21;7;22;0;58;51;0;;;;
Orange juice, ready-to-drink;125mL;132;58;242;1;13;N/A;0,03;tr;13;0,02;1;250;14;14;5;61;0;24;43;0;;;;
Orange juice, ready-to-drink, refrigerated, vitamin D and calcium added;125mL;132;58;242;1;13;N/A;0,03;tr;185;0,02;1;250;14;14;5;N/A;0;N/A;43;0;;;;
Orange, strawberry and banana juice, ready-to-drink;125mL;124;57;237;1;15;13;0,02;tr;14;0,03;5;124;12;15;1;21;0;21;31;0;;;;
Pineapple juice, ready-to-drink, vitamin C added;125mL;132;74;309;tr;18;13;0,03;tr;22;0,03;1;177;17;11;0;4;0;30;32;0;;;;
Pomegranate juice, ready-to-drink;125mL;128;72;300;0;20;17;0;0;0;0;5;215;N/A;N/A;0;N/A;N/A;N/A;0;0;;;;
Prune juice, ready-to-drink;125mL;135;96;402;1;24;22;1,04;tr;16;1,06;5;373;19;34;0;3;0;0;6;0;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Vitamin D;Folate;Vitamin B12;Riboflavin;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mcg;DFE;mcg;mg;;;;
Dairy Foods and Other Related Products;;;;;;;;;;;;;;;;;;;;;;;;;
Milk and Substitutes;;;;;;;;;;;;;;;;;;;;;;;;;
Buttermilk;250mL;259;104;432;9;12;12;2;1,04;10;300;0,01;272;391;28;230;18;0,02;13;0,57;0,40;;;;
Milk, chocolate, 1% M.F.;250mL;264;166;695;9;28;26;3;1,06;8;304;0,06;161;449;34;272;153;2,06;13;0,0625;0,44;;;;
Milk, chocolate, 2% M.F.;250mL;264;190;795;8;27;26;5;3,03;18;301;0,06;158;446;34;269;145;2,06;13;0,0625;0,43;;;;
Milk, skimmed;250mL;259;88;368;9;13;13;tr;0,02;5;324;0,01;109;404;28;261;158;2,07;13;1,37;0,47;;;;
Milk partly skimmed, 1% M.F.;250mL;258;108;454;9;13;13;3;1,06;13;307;0,01;113;387;28;245;150;2,06;13;1,13;0,48;;;;
Milk partly skimmed, 2% M.F.;250mL;258;129;539;9;12;13;5;3,03;21;302;0,01;106;387;28;242;142;2,08;13;0,19;0,48;;;;
Milk, partly skimmed, 2% M.F., with added milk solids;250mL;260;146;608;10;14;14;5;3,02;21;372;0,02;153;473;42;291;143;2,06;16;1,19;0,48;;;;
Milk, whole, 3.3% M.F.;250mL;258;155;647;8;12;14;8;5,04;26;291;0,01;103;369;26;235;72;2,07;13;1,13;0,47;;;;
Rice beverage, flavoured and unflavoured, enriched;250mL;259;127;531;tr;26;N/A;2;0,02;0;319;0,02;91;72;10;36;52;2,02;96;1,03;0,03;;;;
Soy beverage, chocolate, enriched;250mL;257;162;673;6;26;20;4;0,06;0;323;1,02;136;367;38;131;180;2,06;29;1,8;0,67;;;;
Soy beverage, original and vanilla, enriched;250mL;257;110;465;7;13;9;4;0,05;0;316;1,01;120;313;38;110;142;2,07;23;2,19;0,47;;;;
Soy beverage, unsweetened, enriched;250mL;257;85;354;7;4;1;4;0,05;0;318;1,02;95;308;41;82;160;3,01;18;2,85;0,53;;;;
Processed Milk;;;;;;;;;;;;;;;;;;;;;;;;;
Milk condensed, sweetened, canned (Eagle BrandTM);15mL;19;62;260;2;11;11;2;1,01;7;55;tr;25;72;5;49;14;N/A;2;0,09;0,08;;;;
Milk, evaporated, partly skimmed, canned, diluted, 2% M.F.;250mL;258;122;512;10;15;13;3;1,06;10;369;0,03;149;422;35;264;104;2,09;11;0,28;0,41;;;;
Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.;15mL;16;15;62;1;2;2;tr;0,02;1;44;tr;18;51;4;32;12;0,03;1;0,03;0,05;;;;
Milk, evaporated, skim, canned, diluted, 0.2% M.F.;250mL;259;105;438;10;15;15;tr;0,02;5;392;0,04;157;446;38;262;159;2,09;12;0,32;0,42;;;;
Milk, evaporated, skim, canned, undiluted, 0.2% M.F.;15mL;16;13;53;1;2;2;tr;tr;1;47;tr;19;54;4;32;19;0,04;1;0,04;0,05;;;;
Milk, evaporated, whole, canned, diluted, 7.8% M.F.;250mL;258;178;744;9;13;13;10;6,03;39;349;0,03;143;403;33;270;86;2,09;11;0,21;0,42;;;;
Milk, evaporated, whole, canned, undiluted, 7.8% M.F.;15mL;16;21;89;1;2;2;1;0,08;5;42;tr;17;48;4;32;10;0,03;1;0,03;0,05;;;;
Milk reconstituted, from skim milk powder;250mL;259;86;360;8;13;13;tr;0,01;4;301;0,01;137;410;30;237;170;2,06;12;23,02;0,42;;;;
Skim milk powder;5mL;1;5;22;1;1;1;tr;tr;tr;18;tr;8;25;2;14;10;0,02;1;0,06;0,03;;;;
Milk Beverages;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate milk, chocolate flavour powder + 2% milk;250mL;279;207;863;9;33;N/A;6;3,04;20;321;0,08;176;531;59;274;143;2,08;N/A;0,063888889;0,46;;;;
Chocolate milk, syrup + 2% milk;250mL;298;238;998;10;38;N/A;5;3,03;21;319;1,00;158;489;60;298;146;2,08;15;0,065972222;0,45;;;;
Eggnog;250mL;268;362;1516;10;36;23;20;11,09;158;349;0,05;145;443;51;293;121;1,01;3;1,21;0,51;;;;
Hot chocolate, aspartame sweetened, powder + water;250mL;270;78;326;3;15;9;1;0;0;127;1,01;240;569;46;189;38;N/A;3;0,35;0,29;;;;
Hot chocolate, homemade with cocoa + 2% milk;250mL;264;203;851;9;28;26;6;3,08;21;277;1,03;116;520;61;277;135;2,06;13;1,11;0,48;;;;
Hot chocolate, powder + 2% milk;250mL;264;255;1068;10;41;37;6;3,08;20;318;0,05;272;595;55;327;126;2,05;11;1,52;0,043055556;;;;
Hot chocolate, powder + water;250mL;291;160;669;2;34;30;2;0,09;3;64;0,05;206;285;35;125;0;N/A;0;0,52;0,23;;;;
Instant breakfast powder + 2% milk;250mL;280;260;1087;16;36;12;5;3,01;24;555;3,09;286;811;61;459;444;2,06;12;2,21;1,41;;;;
Milk shake, chocolate;250mL;249;296;1240;8;53;52;7;4,02;27;329;0,08;276;558;40;314;45;1,00;12;0,055555556;0,55;;;;
Milk shake, vanilla;250mL;249;279;1166;10;44;44;8;4,07;30;364;0,02;237;456;30;286;62;0,05;17;1,30;0,49;;;;
Yoghurts and Fermented Milk Products;;;;;;;;;;;;;;;;;;;;;;;;;
Drinkable yogourt;200mL;207;145;607;5;24;24;3;2,01;12;191;0,02;81;257;23;157;N/A;0,02;25;0,58;0,23;;;;
Fresh cheese (DanimalTM , MinigoTM);1;60;68;286;3;10;10;2;1,01;6;138;0,01;32;84;7;50;N/A;N/A;N/A;N/A;N/A;;;;
Kefir, plain;175mL;165;104;433;6;7;6;6;3,08;25;187;0,01;70;250;19;148;58;0,02;23;0,33;0,30;;;;
Yogourt parfait with berries and granola;175mL;188;233;973;7;40;3;5;2,07;14;208;2,02;119;337;36;201;23;0,00;40;0,59;0,31;;;;
Yogourt, plain, 1-2% M.F.;175mL;181;114;477;10;13;13;3;1,08;11;332;0,01;127;424;31;261;25;N/A;20;1,01;0,39;;;;
Yogourt, plain, 2-4% M.F.;175mL;181;129;538;9;12;8;5;3,03;17;292;0,01;111;412;28;246;31;N/A;21;1,03;0,42;;;;
Yogourt, plain, fat-free;175mL;189;79;332;8;11;9;tr;0;6;253;0,01;113;368;26;215;N/A;1,08;N/A;0,061805556;0,32;;;;
Yogourt, vanilla or fruit, 1-2% M.F.;175mL;185;183;767;7;30;25;4;2,03;17;227;0,01;98;335;20;167;N/A;N/A;N/A;0,31;0,15;;;;
Yogourt, vanilla or fruit, fat-free;175mL;181;116;484;8;21;19;tr;tr;4;229;0,02;103;349;20;163;N/A;N/A;N/A;0,59;N/A;;;;
Yogourt, vanilla or fruit, fat-free with sugar substitute;175mL;189;94;394;7;16;14;tr;0;6;205;0,02;92;311;22;179;N/A;1,04;N/A;1,12;0,27;;;;
Cheese;;;;;;;;;;;;;;;;;;;;;;;;;
Blue;50g;50;177;738;11;1;tr;14;9,03;38;264;0,02;698;128;12;194;99;0,02;18;0,042361111;0,19;;;;
Brick;50g;50;186;776;12;1;tr;15;9,04;47;337;0,02;280;68;12;226;146;0,02;10;0,04375;0,18;;;;
Brie;50g;50;167;699;10;tr;tr;14;8,07;50;92;0,03;315;76;10;94;87;0,02;33;0,057638889;0,26;;;;
Camembert;50g;50;150;628;10;tr;tr;12;7,06;36;194;0,02;421;94;10;174;121;0,02;31;0,045138889;0,24;;;;
Cheddar;50g;50;202;843;12;1;tr;17;10,05;53;361;0,03;311;49;14;256;133;0,01;9;0,42;0,19;;;;
Cheddar, low fat (18% M.F.);50g;50;141;590;14;1;N/A;9;5,08;28;453;0,01;363;47;18;292;75;N/A;10;0,057638889;0,15;;;;
Cottage cheese (1% M.F.);125mL;119;86;359;15;3;3;1;0,08;5;73;0,02;500;103;6;160;13;N/A;14;0,052083333;0,20;;;;
Cream cheese, light;30mL;30;70;294;3;2;tr;5;3,04;17;34;0,05;90;51;2;44;56;N/A;5;0,18;0,09;;;;
Cream cheese, regular;30mL;29;103;430;2;1;tr;10;6,05;32;24;0,04;87;35;2;31;108;N/A;4;0,12;0,06;;;;
Edam;50g;50;179;747;12;1;1;14;8,08;45;366;0,02;483;94;15;268;122;0,05;8;0,053472222;0,19;;;;
Feta;50g;50;132;552;7;2;2;11;7,07;46;247;0,03;558;31;10;169;63;0,02;16;0,060416667;0,44;;;;
Goat cheese, soft;50g;50;134;561;9;tr;tr;11;7,03;23;70;1,00;184;13;8;128;144;0,02;6;0,10;0,19;;;;
Gouda;50g;50;178;745;13;1;1;14;9,00;58;350;0,01;410;61;15;273;83;0,02;11;0,054166667;0,17;;;;
Gruyere;50g;50;207;864;15;tr;tr;16;9,05;55;506;0,01;168;41;18;303;136;0,02;5;0,055555556;0,14;;;;
Imitation cheese;50g;50;120;500;8;6;4;7;4,04;18;281;0,02;673;121;15;356;57;0;4;0,20;0,22;;;;
Mozzarella (22.5% M.F.);50g;50;141;588;10;1;1;11;6,08;39;269;0,01;187;34;10;186;90;0,01;4;0,33;0,13;;;;
Mozzarella, partially skimmed (16.5% M.F.);50g;50;127;531;13;1;1;8;5,02;29;323;0,01;241;42;12;239;64;0,01;5;0,41;0,16;;;;
Parmesan, grated;15mL;6;27;114;2;tr;tr;2;1,01;6;70;0,01;97;8;2;46;8;tr;1;0,14;0,03;;;;
Processed cheese food, thin slices;1;21;78;327;5;tr;tr;7;4,01;20;115;tr;310;35;6;107;53;tr;2;0,15;0,07;;;;
Processed cheese food, thin slices, light;1;21;50;209;4;2;2;3;1,08;11;110;tr;331;69;7;173;53;tr;4;0,23;0,10;;;;
Processed cheese spread (Cheez WhizTM);30mL;31;90;375;5;3;N/A;7;4,01;17;174;0,01;503;75;9;271;N/A;0,01;2;0,12;0,13;;;;
Processed cheese spread, light (Light Cheez WhizTM);30mL;31;69;287;6;4;3;3;2,02;13;178;tr;491;107;9;317;91;N/A;N/A;N/A;0,20;;;;
Ricotta cheese, partly skimmed milk;125mL;131;181;756;15;7;tr;10;6,05;41;356;0,06;164;164;20;240;140;N/A;17;0,38;0,24;;;;
Romano, grated;15mL;6;25;103;2;tr;tr;2;1,01;7;67;tr;76;5;3;48;6;tr;tr;0,07;0,02;;;;
Swiss (Emmental);50g;50;190;795;13;3;1;14;8,09;46;396;0,01;96;39;19;284;110;0,06;3;0,088194444;0,15;;;;
Swiss, processed, thin slices;1;21;70;291;5;tr;tr;5;3,03;18;161;0,01;285;45;6;159;41;0,02;1;0,26;0,06;;;;
Cream;;;;;;;;;;;;;;;;;;;;;;;;;
Half and half, 10% M.F.;15mL;15;18;76;tr;1;tr;2;1,00;5;16;tr;6;20;2;15;15;tr;tr;0,05;0,02;;;;
Sour cream, 14% M.F.;15mL;15;22;93;tr;1;tr;2;1,03;6;16;tr;6;19;1;14;17;0,01;2;0,04;0,02;;;;
Sour cream, light, 5% M.F.;15mL;16;21;89;1;1;tr;2;1,00;6;22;tr;11;33;2;11;14;N/A;2;0,07;0,02;;;;
Table cream (coffee cream), 18% M.F.;15mL;15;28;118;tr;1;tr;3;1,07;9;15;tr;6;19;1;13;25;0,01;tr;0,04;0,02;;;;
Whipped, pressurized;60mL;15;39;164;tr;2;1;3;2,01;12;15;tr;20;22;2;14;29;0,01;tr;0,04;0,01;;;;
Whipping cream, 35% M.F., not whipped;15mL;15;49;207;tr;tr;tr;5;3,03;19;10;tr;5;12;1;9;62;0,01;1;0,03;0,02;;;;
Whipping cream, 35% M.F., sweetened, whipped;60mL;30;100;419;1;3;2;10;6,02;36;19;tr;10;23;2;17;117;0,02;1;0,05;0,03;;;;
Imitation Cream Products;;;;;;;;;;;;;;;;;;;;;;;;;
Coffee whitener, frozen liquid;15mL;15;21;87;tr;2;2;2;0,03;0;1;tr;12;29;0;10;tr;0;0;0;0;;;;
Coffee whitener, powdered;5mL;2;11;45;tr;1;1;1;0,06;0;tr;tr;4;16;tr;8;tr;0;0;0;tr;;;;
Coffee whitener, powdered, light;5mL;2;9;36;tr;1;1;tr;0,01;0;tr;tr;5;18;0;3;tr;0;tr;0;0;;;;
Dessert topping, frozen;60mL;19;60;253;tr;4;4;5;4,01;0;1;tr;5;3;tr;2;1;0;0;0;0;;;;
Dessert topping, frozen, low fat;60mL;19;42;175;1;4;4;2;2,01;tr;14;tr;14;19;1;14;1;N/A;1;0,04;0,02;;;;
Dessert topping, powdered, prepared with 2% milk;60mL;20;37;153;1;3;3;2;2,00;1;19;tr;12;31;2;18;9;0,02;1;0,07;0,03;;;;
Dessert topping, pressurized Pudding;60mL;18;47;196;tr;3;3;4;3,04;0;1;tr;11;3;tr;3;1;0;0;0;0;;;;
All flavours, instant, from mix, prepared with 2% milk;125mL;139;149;623;4;27;23;3;1,06;9;141;0,02;391;206;18;307;65;1,03;6;0,54;0,23;;;;
Chocolate, ready-to-eat;1 unit;99;138;575;3;23;18;4;0,07;3;89;0,05;128;178;21;79;10;N/A;3;0;0,15;;;;
Chocolate, ready-to-eat, fat-free;1 unit;99;96;402;3;20;15;tr;0,02;1;72;0,08;168;139;19;75;47;N/A;4;0,22;0,15;;;;
Rice, homemade;125mL;119;160;669;4;32;19;2;1,02;7;115;0,03;55;211;18;112;51;1,00;5;0,24;0,19;;;;
Rice, ready-to-eat;1 unit;99;161;675;2;22;N/A;7;1,02;1;51;0,03;84;59;8;67;25;0,01;3;0,21;0,07;;;;
Tapioca, ready-to-eat;1 unit;99;118;493;2;19;18;4;0,06;1;83;0,02;157;95;8;78;0;N/A;3;0,21;0,10;;;;
Tapioca, ready-to-eat, fat-free;1 unit;99;88;368;2;20;16;tr;0;1;50;0,03;210;52;5;40;32;N/A;2;0,15;0,10;;;;
Vanilla, ready-to-eat;1 unit;99;128;534;2;22;20;4;0,06;7;87;0,01;134;112;8;67;6;N/A;0;0,10;0,14;;;;
Vanilla, ready-to-eat, fat-free;1 unit;99;92;385;2;22;16;tr;tr;1;59;0,04;21 1;71;7;49;40;N/A;3;0,19;0,12;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Fat;Saturated Fat;Monounsaturated Fat;Polyunsaturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Phosphorus;Vitamin A;Vitamin D;Folate;Vitamin B12;Vitamin E;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;RAE;mcg;DFE;mcg;mg;;;;
Eggs and Egg Dishes;;;;;;;;;;;;;;;;;;;;;;;;;
Egg substitute, frozen (yolk replaced), cooked;2 eggs;111;226;947;14;4;17;2,09;4,06;8,08;2;89;02.04;291;258;88;60;1,09;14;0,35;2,02;;;;
Egg white, cooked;1 large;33;16;66;3;tr;0;0;0;0;0;3;tr;106;39;4;0;0;0;0,01;0;;;;
Egg yolk, cooked;1 large;17;59;249;3;1;6;1,07;2,03;0,08;202;22;0,07;34;17;64;106;0,08;30;0,061111111;1,04;;;;
Egg, fried;2 large;92;173;726;12;2;14;3,06;5,08;2,07;367;46;1,04;322;116;127;236;1,09;54;0,084722222;2,07;;;;
Egg, hard-boiled;1 large;50;78;324;6;1;5;1,06;2,00;0,07;216;25;0,06;62;63;86;85;0,07;22;0,56;0,05;;;;
Egg, poached;1 large;50;74;308;6;tr;5;1,05;1,09;0,07;215;27;0,09;147;67;95;70;0,04;24;0,044444444;0,05;;;;
Eggs benedict;2 eggs;310;572;2393;34;30;35;12,05;14,02;4,09;458;189;4,00;2015;456;453;265;2,01;113;0,108333333;1,07;;;;
Eggs, scrambled, made with 2 eggs;2 eggs;124;189;792;13;4;14;4,01;5,09;2,07;363;90;1,04;476;171;160;253;2,03;55;0,092361111;2,06;;;;
Omelet, cheese, made with 2 eggs;1 omelet;150;273;1142;18;5;20;8,00;7,08;2,08;376;238;1,06;890;241;356;304;2,03;56;0,110416667;2,07;;;;
Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes);1 omelet;290;319;1336;15;13;24;5,07;10,04;6,03;353;111;1,08;607;514;21 1;403;4,03;72;0,090277778;3,07;;;;
Omelet, western, made with 2 eggs (green peppers, ham, onions);1 omelet;158;237;993;17;5;17;5,01;7,03;2,09;346;86;1,05;720;258;202;231;2,02;53;0,091666667;2,05;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Fat;Saturated Fat;Polyunsaturated Fat;DHA;EPA;Cholestrol;Calcium;Iron;Sodium;Potassium;Phosphorus;Vitamin A;Vitamin D;Vitamin B12;Vitamin E;;;;
